# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_n_rjb.ini
# Process start: 2017-09-14T06:51:14.973005
# Process finish: 2017-09-14T07:00:18.518299
# rup_dim_model = HB08, mech = N, LW = False, AR = 1.7, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.070463,0.053341,0.040562,0.031145,0.024130,0.019474,0.016609,0.014580,0.013365,0.012994,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.088185,0.066621,0.050471,0.038459,0.029559,0.023021,0.018805,0.016151,0.014262,0.013234,0.012975,0.012961,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.110419,0.083368,0.063024,0.047769,0.036474,0.028067,0.021983,0.018186,0.015715,0.013979,0.013138,0.013007,0.012962,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.138257,0.104393,0.078806,0.059596,0.045220,0.034577,0.026665,0.021068,0.017619,0.015313,0.013735,0.013216,0.013014,0.012963,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.251189,0.172999,0.130697,0.098664,0.074523,0.056379,0.042838,0.032823,0.025349,0.020238,0.017095,0.014931,0.013781,0.013247,0.013037,0.012985,0.012979,0.012979,0.012979,0.012979,0.012979,0.012979
0.316228,0.216218,0.163588,0.123580,0.093280,0.070463,0.053341,0.040562,0.031145,0.024130,0.019474,0.016609,0.014862,0.013919,0.013444,0.013279,0.013248,0.013245,0.013245,0.013245,0.013245,0.013245
0.398107,0.269461,0.204523,0.154662,0.116798,0.088185,0.066621,0.050471,0.038459,0.029559,0.023021,0.018805,0.016481,0.015156,0.014398,0.014075,0.013991,0.013984,0.013984,0.013984,0.013984,0.013984
0.501187,0.332793,0.255154,0.193439,0.146243,0.110419,0.083368,0.063024,0.047769,0.036474,0.028067,0.021983,0.018703,0.016882,0.015860,0.015416,0.015286,0.015266,0.015264,0.015264,0.015264,0.015264
0.630957,0.402921,0.316136,0.241519,0.182944,0.138257,0.104393,0.078806,0.059596,0.045220,0.034577,0.026665,0.021851,0.019236,0.017835,0.017266,0.017104,0.017079,0.017077,0.017077,0.017077,0.017077
0.794328,0.474647,0.385045,0.299981,0.228541,0.172999,0.130697,0.098664,0.074523,0.056379,0.042838,0.032823,0.026289,0.022570,0.020478,0.019624,0.019398,0.019367,0.019365,0.019365,0.019365,0.019365
1.000000,0.544772,0.456800,0.367338,0.284410,0.216218,0.163588,0.123580,0.093280,0.070463,0.053341,0.040562,0.032212,0.027232,0.024182,0.022796,0.022389,0.022331,0.022328,0.022328,0.022328,0.022328
1.258925,0.612583,0.527445,0.438865,0.349892,0.269461,0.204523,0.154662,0.116798,0.088185,0.066621,0.050471,0.039780,0.033300,0.029158,0.027082,0.026340,0.026181,0.026168,0.026168,0.026168,0.026168
1.584893,0.676717,0.595889,0.509980,0.420887,0.332793,0.255154,0.193439,0.146243,0.110419,0.083368,0.063024,0.049432,0.041126,0.035633,0.032644,0.031424,0.031098,0.031054,0.031051,0.031051,0.031051
1.995262,0.734263,0.661186,0.578994,0.492378,0.402921,0.316136,0.241519,0.182944,0.138257,0.104393,0.078806,0.061670,0.051126,0.043982,0.039891,0.038020,0.037377,0.037228,0.037216,0.037216,0.037216
2.511886,0.783550,0.720625,0.645296,0.561955,0.474647,0.385045,0.299981,0.228541,0.172999,0.130697,0.098664,0.077087,0.063755,0.054670,0.049274,0.046524,0.045411,0.045092,0.045043,0.045039,0.045039
3.162278,0.824755,0.772012,0.706471,0.629066,0.544772,0.456800,0.367338,0.284410,0.216218,0.163588,0.123580,0.096512,0.079738,0.068192,0.061195,0.057464,0.055741,0.055094,0.054933,0.054918,0.054918
3.981072,0.858733,0.815170,0.759955,0.691830,0.612583,0.527445,0.438865,0.349892,0.269461,0.204523,0.154662,0.120833,0.099814,0.085298,0.076401,0.071435,0.068878,0.067770,0.067429,0.067371,0.067366
5.011872,0.886494,0.850861,0.805116,0.747373,0.676717,0.595889,0.509980,0.420887,0.332793,0.255154,0.193439,0.151237,0.124985,0.106790,0.095540,0.089130,0.085666,0.083944,0.083261,0.083085,0.083069
6.309573,0.909027,0.880081,0.842585,0.794581,0.734263,0.661186,0.578994,0.492378,0.402921,0.316136,0.241519,0.189110,0.156428,0.133720,0.119652,0.111547,0.106947,0.104422,0.103280,0.102915,0.102846
7.943282,0.927227,0.903833,0.873327,0.833888,0.783550,0.720625,0.645296,0.561955,0.474647,0.385045,0.299981,0.235878,0.195608,0.167402,0.149865,0.139687,0.133810,0.130428,0.128672,0.127956,0.127766
10.000000,0.941873,0.923038,0.898355,0.866216,0.824755,0.772012,0.706471,0.629066,0.544772,0.456800,0.367338,0.292236,0.243964,0.209372,0.187689,0.175083,0.167713,0.163269,0.160748,0.159586,0.159199
12.589254,0.953626,0.938507,0.918617,0.892580,0.858733,0.815170,0.759955,0.691830,0.612583,0.527445,0.438865,0.356983,0.302133,0.261134,0.234788,0.219294,0.210166,0.204577,0.201256,0.199495,0.198760
15.848932,0.963037,0.950927,0.934950,0.913950,0.886494,0.850861,0.805116,0.747373,0.676717,0.595889,0.509980,0.426665,0.368321,0.322345,0.291471,0.272809,0.261704,0.254806,0.250523,0.248070,0.246916
19.952623,0.970559,0.960877,0.948075,0.931194,0.909027,0.880081,0.842585,0.794581,0.734263,0.661186,0.578994,0.497199,0.438071,0.389238,0.354710,0.332858,0.319489,0.311100,0.305826,0.302660,0.300949
