# Program: ./run_ps2ff
# Config file: ../ps2ff/config/scr_a.ini
# Process start: 2018-01-02T12:12:14.823280
# Process finish: 2018-01-02T13:39:33.180069
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000664,0.000566,0.000482,0.000414,0.000360,0.000321,0.000293,0.000275,0.000264,0.000257,0.000253,0.000251,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250
0.125893,0.001188,0.001020,0.000869,0.000740,0.000637,0.000557,0.000498,0.000458,0.000432,0.000416,0.000407,0.000402,0.000401,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.158489,0.002101,0.001828,0.001566,0.001333,0.001137,0.000981,0.000862,0.000775,0.000716,0.000679,0.000658,0.000648,0.000644,0.000643,0.000643,0.000643,0.000643,0.000643,0.000643,0.000643,0.000643
0.199526,0.003655,0.003244,0.002812,0.002404,0.002046,0.001748,0.001513,0.001334,0.001206,0.001122,0.001073,0.001049,0.001040,0.001038,0.001038,0.001038,0.001038,0.001038,0.001038,0.001038,0.001038
0.251189,0.006221,0.005671,0.005004,0.004323,0.003690,0.003140,0.002689,0.002334,0.002068,0.001882,0.001768,0.001712,0.001691,0.001687,0.001687,0.001687,0.001687,0.001687,0.001687,0.001687,0.001687
0.316228,0.010275,0.009709,0.008785,0.007713,0.006641,0.005661,0.004821,0.004137,0.003605,0.003214,0.002959,0.002824,0.002774,0.002762,0.002761,0.002761,0.002761,0.002761,0.002761,0.002761,0.002761
0.398107,0.016313,0.016170,0.015128,0.013594,0.011880,0.010201,0.008686,0.007403,0.006370,0.005582,0.005038,0.004728,0.004599,0.004565,0.004561,0.004561,0.004561,0.004561,0.004561,0.004561,0.004561
0.501187,0.024581,0.025957,0.025388,0.023532,0.021010,0.018283,0.015662,0.013329,0.011375,0.009832,0.008721,0.008043,0.007729,0.007631,0.007614,0.007613,0.007613,0.007613,0.007613,0.007613,0.007613
0.630957,0.034646,0.039675,0.041176,0.039779,0.036554,0.032440,0.028120,0.024041,0.020462,0.017523,0.015323,0.013910,0.013191,0.012924,0.012859,0.012850,0.012850,0.012850,0.012850,0.012850,0.012850
0.794328,0.045179,0.056926,0.063783,0.065131,0.062206,0.056705,0.050045,0.043229,0.036901,0.031476,0.027254,0.024413,0.022854,0.022193,0.021990,0.021947,0.021942,0.021942,0.021942,0.021942,0.021942
1.000000,0.054416,0.075809,0.093126,0.102178,0.102749,0.097092,0.087848,0.077132,0.066422,0.056735,0.048866,0.043348,0.040148,0.038650,0.038094,0.037937,0.037908,0.037906,0.037906,0.037906,0.037906
1.258925,0.060951,0.093064,0.126499,0.151649,0.163128,0.161697,0.151276,0.135936,0.118815,0.102224,0.088050,0.077674,0.071349,0.068146,0.066793,0.066329,0.066217,0.066200,0.066199,0.066199,0.066199
1.584893,0.064891,0.105893,0.158314,0.209886,0.245809,0.259566,0.253881,0.235324,0.210117,0.183199,0.158713,0.139887,0.127828,0.121318,0.118318,0.117156,0.116812,0.116740,0.116732,0.116731,0.116731
