# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_n_rrup.ini
# Process start: 2017-09-25T10:45:59.942021
# Process finish: 2017-09-25T13:21:20.859861
# rup_dim_model = HB08, mech = N, LW = False, AR = 1.7, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,31.345891,30.614062,29.633881,28.326470,26.597329,24.344647,21.484455,18.011170,14.124428,10.449559,8.235690,9.434586,11.069613,12.855213,13.974182,14.412901,14.504557,14.511778,14.511778,14.511778,14.511778
0.125893,31.342198,30.610929,29.631252,28.324323,26.595653,24.343428,21.483677,18.010814,14.124477,10.449965,8.236339,9.435218,11.070069,12.855363,13.974125,14.412715,14.504333,14.511551,14.511551,14.511551,14.511551
0.158489,31.336276,30.605916,29.627053,28.320900,26.592982,24.341489,21.482445,18.010255,14.124547,10.450600,8.237377,9.436309,11.071008,12.856004,13.974562,14.413020,14.504597,14.511812,14.511812,14.511812,14.511812
0.199526,31.326773,30.597889,29.620342,28.315437,26.588725,24.338399,21.480482,18.009368,14.124664,10.451594,8.239019,9.438145,11.072763,12.857527,13.975921,14.414260,14.505797,14.513009,14.513009,14.513009,14.513009
0.251189,31.311511,30.585020,29.609602,28.306705,26.581927,24.333468,21.477349,18.007955,14.124852,10.453174,8.241604,9.441150,11.075833,12.860523,13.978853,14.417110,14.508613,14.515820,14.515820,14.515820,14.515820
0.316228,31.286996,30.564378,29.592400,28.292735,26.571062,24.325594,21.472345,18.005688,14.125142,10.455683,8.245699,9.445820,11.080737,12.865442,13.983734,14.421932,14.513411,14.520617,14.520617,14.520617,14.520617
0.398107,31.247720,30.531269,29.564837,28.270366,26.553674,24.312995,21.464336,18.002046,14.125570,10.459651,8.252199,9.453166,11.088279,12.872820,13.990886,14.429017,14.520494,14.527700,14.527700,14.527700,14.527700
0.501187,31.185412,30.478273,29.520685,28.234533,26.525817,24.292809,21.451492,17.996178,14.126184,10.465906,8.262494,9.464811,11.099987,12.883992,14.001672,14.439597,14.531030,14.538233,14.538233,14.538233,14.538233
0.630957,31.088411,30.394109,29.450107,28.177165,26.481174,24.260430,21.430859,17.986690,14.127038,10.475735,8.278766,9.483195,11.118576,12.901735,14.018725,14.456174,14.547458,14.554648,14.554648,14.554648,14.554648
0.794328,30.940176,30.262724,29.338067,28.085531,26.409669,24.208455,21.397648,17.971292,14.128144,10.491148,8.304431,9.512410,11.148309,12.930455,14.046436,14.483309,14.574436,14.581613,14.581613,14.581613,14.581613
1.000000,30.715933,30.061826,29.163024,27.940131,26.295424,24.125067,21.344133,17.946211,14.129408,10.515232,8.344842,9.558478,11.195250,12.975961,14.090616,14.526727,14.617641,14.624800,14.624800,14.624800,14.624800
1.258925,30.378495,29.759349,28.895660,27.712947,26.114083,23.991578,21.257867,17.905207,14.130429,10.552647,8.408314,9.631024,11.269394,13.048098,14.160646,14.595614,14.686225,14.693359,14.693359,14.693359,14.693359
1.584893,29.876273,29.308494,28.495620,27.366515,25.830559,23.779221,21.118989,17.837956,14.130084,10.610368,8.507691,9.745021,11.386135,13.162127,14.272042,14.705640,14.795928,14.803042,14.803043,14.803043,14.803043
1.995262,29.146907,28.645203,27.906463,26.852052,25.399015,23.446600,20.896737,17.727588,14.125753,10.698591,8.662608,9.923891,11.570152,13.343014,14.449623,14.881725,14.971838,14.979025,14.979038,14.979038,14.979038
2.511886,28.124386,27.694592,27.053131,26.105708,24.764089,22.941326,20.546933,17.547367,14.111794,10.831667,8.902618,10.203438,11.859150,13.628430,14.730814,15.161592,15.252078,15.259605,15.259675,15.259679,15.259679
3.162278,26.746265,26.385988,25.851833,25.046925,23.860550,22.206460,20.015828,17.258400,14.077008,11.028591,9.271113,10.638431,12.312052,14.078749,15.176841,15.606882,15.698732,15.707286,15.707666,15.707698,15.707698
3.981072,24.964464,24.667383,24.235940,23.591336,22.613317,21.186545,19.254216,16.815754,14.002320,11.311651,9.828945,11.310741,13.019459,14.788100,15.882929,16.313743,16.409146,16.420241,16.421505,16.421676,16.421687
