# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_r_rrup.ini
# Process start: 2017-09-25T13:21:21.725514
# Process finish: 2017-09-25T15:40:41.830949
# rup_dim_model = HB08, mech = R, LW = False, AR = 1.7, ndip = 4, mindip = 0.610865, maxdip = 0.872665, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,31.551862,30.877381,29.967951,28.748141,27.128378,25.013811,22.330959,19.088651,15.494966,12.126808,9.996007,10.914804,12.738792,15.185460,17.123840,18.099993,18.385067,18.423897,18.426146,18.426146,18.426146
0.125893,31.548460,30.874512,29.965589,28.746265,27.126962,25.012832,22.330388,19.088456,15.495119,12.127221,9.996559,10.915321,12.739100,15.185378,17.123427,18.099337,18.384315,18.423124,18.425371,18.425371,18.425371
0.158489,31.543000,30.869919,29.961813,28.743271,27.124706,25.011271,22.329484,19.088151,15.495347,12.127878,9.997450,10.916196,12.739754,15.185605,17.123281,18.098920,18.383792,18.422578,18.424823,18.424823,18.424823
0.199526,31.534229,30.862557,29.955772,28.738486,27.121103,25.008781,22.328041,19.087673,15.495707,12.128902,9.998871,10.917651,12.741000,15.186413,17.123694,18.099043,18.383805,18.422566,18.424809,18.424809,18.424809
0.251189,31.520126,30.850744,29.946092,28.730829,27.115344,25.004801,22.325733,19.086904,15.496287,12.130516,10.001106,10.920026,12.743234,15.188263,17.125166,18.100233,18.384888,18.423623,18.425864,18.425864,18.425864
0.316228,31.497439,30.831776,29.930566,28.718557,27.106120,24.998433,22.322034,19.085659,15.497197,12.133087,10.004629,10.923858,12.747084,15.191903,17.128527,18.103373,18.387943,18.426655,18.428893,18.428893,18.428893
0.398107,31.460967,30.801310,29.905643,28.698862,27.091325,24.988217,22.316094,19.083637,15.498607,12.137155,10.010225,10.929952,12.753363,15.198172,17.134614,18.109381,18.393925,18.432620,18.434857,18.434857,18.434857
0.501187,31.402538,30.752424,29.865631,28.667223,27.067556,24.971802,22.306526,19.080334,15.500779,12.143565,10.019094,10.939432,12.762745,15.207119,17.143335,18.117933,18.402414,18.441096,18.443332,18.443332,18.443332
0.630957,31.310076,30.674231,29.801465,28.616389,27.029320,24.945372,22.291072,19.074908,15.504100,12.153641,10.033103,10.954414,12.777373,15.220532,17.155765,18.129574,18.413748,18.452403,18.454638,18.454638,18.454638
0.794328,31.166657,30.550450,29.698908,28.534801,26.967788,24.902742,22.266040,19.065936,15.509113,12.169445,10.055183,10.978235,12.801001,15.242613,17.176132,18.148808,18.432510,18.471063,18.473291,18.473291,18.473291
1.000000,30.947718,30.358305,29.536502,28.404301,26.868839,24.833914,22.225374,19.050983,15.516537,12.194129,10.089911,11.015712,12.838211,15.277706,17.209241,18.180567,18.463747,18.502184,18.504403,18.504403,18.504403
1.258925,30.616451,30.065733,29.284138,28.197330,26.710171,24.722734,22.159093,19.025841,15.527229,12.232463,10.144398,11.074697,12.896969,15.333296,17.261521,18.230694,18.513066,18.551379,18.553591,18.553591,18.553591
1.584893,30.121399,29.625941,28.900859,27.875240,26.457774,24.543507,22.050838,18.983240,15.542008,12.291605,10.229593,11.167173,12.989164,15.420784,17.344452,18.310731,18.592053,18.630173,18.632371,18.632371,18.632371
1.995262,29.399883,28.974509,28.329836,27.387745,26.064300,24.256976,21.874301,18.910736,15.561202,12.382044,10.362251,11.311991,13.134222,15.559444,17.476790,18.439436,18.719696,18.757754,18.759957,18.759957,18.759957
2.511886,28.385054,28.035834,27.495142,26.669805,25.471140,23.808747,21.588773,18.787305,15.583486,12.518697,10.567681,11.538057,13.361764,15.778255,17.686858,18.645079,18.924494,18.962787,18.965100,18.965113,18.965113
3.162278,27.013544,26.737857,26.311143,25.638637,24.609645,23.135220,21.137667,18.578780,15.603404,12.721707,10.883398,11.889544,13.717814,16.122990,18.019979,18.972711,19.251978,19.291412,19.294202,19.294270,19.294272
3.981072,25.236165,25.026765,24.708409,24.205945,23.400008,22.172867,20.459211,18.235977,15.606730,13.015575,11.363212,12.433625,14.274783,16.667977,18.551312,19.498799,19.779819,19.822055,19.826146,19.826539,19.826570
5.011872,23.033812,22.881572,22.658504,22.316792,21.764306,20.860881,19.507641,17.708927,15.565794,13.423881,12.079640,13.269668,15.143424,17.528957,19.398259,20.341271,20.626483,20.674503,20.681893,20.683348,20.683511
6.309573,20.436092,20.331807,20.189376,19.986576,19.675130,19.148785,18.261366,16.982038,15.451157,13.956830,13.118523,14.538894,16.490944,18.886437,20.747031,21.688457,21.981841,22.039713,22.053290,22.057421,22.058328
7.943282,17.535822,17.471697,17.396625,17.310013,17.204520,17.043158,16.712334,16.088338,15.277391,14.607223,14.553953,16.425611,18.559023,21.016101,22.888571,23.836266,24.141938,24.213511,24.237959,24.248237,24.251272
10.000000,14.489508,14.459772,14.441398,14.451174,14.515081,14.661641,14.882671,15.060087,15.127327,15.399599,16.410419,19.132183,21.660713,24.307999,26.248853,27.221284,27.545300,27.635215,27.675001,27.695660,27.704005
12.589254,11.494765,11.494721,11.523901,11.612331,11.811245,12.199860,12.875482,13.873862,15.053118,16.452743,18.700072,22.819908,26.115918,29.231726,31.383501,32.430520,32.783634,32.893015,32.951090,32.989533,33.009596
15.848932,8.745905,8.769611,8.835776,8.983749,9.282501,9.847235,10.854178,12.518812,14.924422,17.861919,21.578133,27.564850,32.092255,36.140165,38.803744,40.053990,40.470193,40.607685,40.690286,40.753118,40.793851
19.952623,6.391122,6.431483,6.523103,6.711365,7.076771,7.758362,8.986146,11.109022,14.540786,19.386002,25.272384,33.485016,39.582336,45.011276,48.579908,50.280783,50.871910,51.074951,51.196424,51.299576,51.384867
25.118864,4.508406,4.560574,4.669902,4.885684,5.295835,6.054694,7.426729,9.846321,13.964060,20.504503,29.454401,40.966518,49.029223,56.126999,60.988566,63.517379,64.532348,64.926790,65.155899,65.342829,65.504051
31.622777,3.096910,3.159034,3.282878,3.520480,3.964831,4.780264,6.253154,8.870613,13.424791,21.076192,32.977059,50.014265,61.517606,71.511443,78.636165,82.726320,84.695278,85.615283,86.121598,86.478409,86.791449
39.810717,2.092828,2.163732,2.300061,2.555830,3.027588,3.886486,5.433116,8.188035,13.029667,21.366756,35.191047,59.246175,76.928193,93.386026,106.125962,114.252066,118.723647,121.034660,122.292239,123.093199,123.708433
50.118723,1.406061,1.484261,1.630798,1.901105,2.394153,3.285757,4.885958,7.736782,12.771394,21.550191,36.528429,66.820531,92.966297,121.545862,147.297420,165.855703,177.023807,183.058843,186.308443,188.205424,189.504353
63.095734,0.949314,1.033174,1.187548,1.468873,1.977761,2.893048,4.531166,7.448140,12.612322,21.681038,37.396260,72.225053,107.400706,153.812678,203.651214,244.775720,272.006425,287.513591,295.895603,300.662008,303.675188
79.432823,0.651305,0.739318,0.899403,1.188692,1.708915,2.640856,4.305020,7.266946,12.517761,21.777434,37.971399,76.002621,119.694102,187.667205,273.506431,356.038626,417.506799,455.228319,476.089352,487.762313,494.739949
100.000000,0.459304,0.550238,0.714322,1.009161,1.537245,2.480670,4.162473,7.154357,12.463029,21.848876,38.355759,78.557720,128.631976,218.943558,352.856742,502.127519,627.700715,712.647547,762.503399,790.415539,806.703908
125.892541,0.336607,0.429536,0.596344,0.894953,1.428369,2.379588,4.073349,7.085123,12.432043,21.902054,38.615245,80.280076,134.944627,245.304504,433.244827,675.606595,911.528235,1090.762769,1203.960774,1268.611725,1305.755795
158.489319,0.258603,0.352866,0.521493,0.822617,1.359595,2.316046,4.017914,7.043188,12.415389,21.941483,38.792838,81.476740,139.192491,264.227005,506.220554,867.495676,1272.769172,1620.701392,1862.806056,2008.899647,2092.413339
199.526231,0.209157,0.304296,0.474117,0.776895,1.316226,2.276169,3.983536,7.018158,12.407739,21.971067,38.915587,82.327328,142.103858,277.726744,566.384591,1056.655674,1691.903454,2322.187742,2812.583045,3129.611566,3314.581156
251.188643,0.177871,0.273577,0.444172,0.748027,1.288902,2.251169,3.962277,7.003437,12.405471,21.994757,39.001753,82.942957,144.178911,286.951394,609.707719,1227.452885,2149.698605,3200.197239,4123.159521,4779.942083,5183.409224
316.227766,0.158102,0.254173,0.425268,0.729821,1.271705,2.235515,3.949167,6.994913,12.405978,22.014404,39.065185,83.396283,145.691906,293.454862,640.993077,1366.043016,2593.673500,4207.345708,5841.254595,7136.727798,7988.673631
398.107171,0.145621,0.241927,0.413342,0.718344,1.260884,2.225717,3.941104,6.990082,12.407715,22.030435,39.113842,83.737212,146.817187,298.205422,662.710685,1466.654507,2994.314093,5299.047209,7970.672345,10364.648241,12097.895390
501.187234,0.137743,0.234198,0.405818,0.711107,1.254074,2.219588,3.936168,6.987447,12.409906,22.043370,39.151627,83.998035,147.667450,301.745811,678.332547,1539.629689,3313.934922,6344.398796,10396.131757,14573.458752,17939.535235
630.957344,0.132771,0.229320,0.401069,0.706542,1.249787,2.215757,3.933166,6.986105,12.412151,22.053770,39.181122,84.199832,148.318380,304.422879,689.889095,1590.756072,3547.489771,7283.554021,12997.055121,19732.939965,25879.777440
794.328235,0.129633,0.226241,0.398071,0.703661,1.247087,2.213365,3.931357,6.985508,12.414248,22.062108,39.204234,84.357238,148.822547,306.472503,698.590399,1627.922930,3716.539214,8019.790681,15459.423718,25571.490267,36174.095356
1000.000000,0.127652,0.224297,0.396178,0.701842,1.245387,2.211875,3.930282,6.985327,12.416110,22.068781,39.222400,84.480587,149.216137,308.058221,705.228048,1655.611085,3835.790266,8560.599630,17655.357516,31756.811102,48660.032825
