# Program: ./run_ps2ff
# Config file: ../ps2ff/config/scr_a.ini
# Process start: 2018-01-02T13:47:05.918143
# Process finish: 2018-01-03T15:02:50.106454
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,74.582905,73.703191,72.560092,71.084365,69.194996,66.802253,63.817382,60.180525,55.957338,51.611414,48.014617,45.858354,44.998288,44.799109,44.776712,44.774675,44.774358,44.774342,44.774356,44.774361,44.774361
0.125893,59.247054,58.547913,57.639604,56.467118,54.966097,53.065265,50.694119,47.805115,44.450417,40.998263,38.141173,36.428350,35.745179,35.587015,35.569284,35.567712,35.567491,35.567496,35.567516,35.567521,35.567522
0.158489,47.066341,46.510544,45.788657,44.856973,43.664364,42.154212,40.270513,37.975509,35.310646,32.568415,30.298872,28.938250,28.395558,28.269951,28.255917,28.254711,28.254566,28.254587,28.254610,28.254616,28.254617
0.199526,37.392111,36.950060,36.376151,35.635654,34.687945,33.488047,31.991477,30.168250,28.051303,25.872961,24.070103,22.989219,22.558080,22.458311,22.447204,22.446285,22.446197,22.446230,22.446255,22.446262,22.446262
0.251189,29.709198,29.357348,28.900851,28.312103,27.558822,26.605275,25.416130,23.967579,22.285808,20.555343,19.123151,18.264424,17.921852,17.842579,17.833785,17.833090,17.833046,17.833087,17.833114,17.833121,17.833121
0.316228,23.608494,23.328099,22.964693,22.496331,21.897357,21.139376,20.194322,19.043300,17.707136,16.332387,15.194582,14.512274,14.240017,14.177006,14.170040,14.169518,14.169505,14.169552,14.169579,14.169587,14.169587
0.398107,18.765173,18.541281,18.251593,17.878657,17.402076,16.799285,16.047988,15.133189,14.071468,12.979218,12.075201,11.532968,11.316520,11.266400,11.260874,11.260483,11.260494,11.260544,11.260571,11.260578,11.260578
0.501187,14.921391,14.742047,14.510616,14.213216,13.833625,13.353904,12.756339,12.029037,11.185209,10.317280,9.598898,9.167852,8.995668,8.955750,8.951353,8.951059,8.951085,8.951136,8.951162,8.951169,8.951170
0.630957,11.872541,11.728174,11.542623,11.304874,11.002018,10.619788,10.144111,9.565558,8.894675,8.204839,7.633827,7.290995,7.153883,7.122024,7.118508,7.118285,7.118319,7.118369,7.118395,7.118402,7.118402
0.794328,9.456296,9.339267,9.189666,8.998839,8.756531,8.451390,8.072231,7.611590,7.077909,6.529423,6.075362,5.802469,5.693098,5.667577,5.664740,5.664566,5.664603,5.664651,5.664676,5.664682,5.664682
1.000000,7.543864,7.448157,7.326556,7.172414,6.977670,6.733300,6.430413,6.063112,5.638186,5.201827,4.840532,4.623033,4.535548,4.514961,4.512618,4.512469,4.512507,4.512552,4.512574,4.512580,4.512581
1.258925,6.032977,5.953995,5.854127,5.728452,5.570809,5.374106,5.131285,4.837702,4.498854,4.151363,3.863600,3.689918,3.619631,3.602824,3.600801,3.600644,3.600675,3.600716,3.600737,3.600742,3.600743
1.584893,4.842354,4.776688,4.693790,4.590093,4.461124,4.301509,4.105725,3.870138,3.599252,3.322162,3.092873,2.954176,2.897612,2.883735,2.881871,2.881661,2.881671,2.881706,2.881725,2.881730,2.881730
