# Program: ./run_ps2ff
# Config file: ../ps2ff/config/scr_a.ini
# Process start: 2018-01-02T13:47:05.918143
# Process finish: 2018-01-03T15:02:50.116713
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,18.320420,17.782728,17.080279,16.177315,15.045598,13.683410,12.151613,10.631838,9.464381,8.966318,9.198009,9.903807,10.728789,11.457994,12.039708,12.463752,12.728020,12.865390,12.919677,12.933374,12.934477
0.125893,18.316435,17.779424,17.077578,16.175153,15.043913,13.682143,12.150707,10.631229,9.463989,8.966059,9.197812,9.903611,10.728532,11.457645,12.039276,12.463263,12.727494,12.864843,12.919121,12.932816,12.933919
0.158489,18.310163,17.774202,17.073292,16.171708,15.041223,13.680120,12.149261,10.630258,9.463367,8.965653,9.197521,9.903357,10.728231,11.457246,12.038779,12.462697,12.726884,12.864207,12.918475,12.932167,12.933269
0.199526,18.300298,17.765961,17.066505,16.166232,15.036932,13.676889,12.146951,10.628709,9.462373,8.965002,9.197048,9.902952,10.727794,11.456709,12.038131,12.461966,12.726098,12.863391,12.917646,12.931335,12.932437
0.251189,18.284794,17.752965,17.055772,16.157547,15.030103,13.671731,12.143259,10.626232,9.460785,8.963966,9.196312,9.902365,10.727216,11.456034,12.037328,12.461063,12.725131,12.862388,12.916628,12.930313,12.931414
0.316228,18.260444,17.732482,17.038810,16.143790,15.019259,13.663514,12.137361,10.622271,9.458245,8.962310,9.195144,9.901446,10.726331,11.455034,12.036171,12.459787,12.723779,12.860994,12.915215,12.928896,12.929997
0.398107,18.222249,17.700224,17.012023,16.122022,15.002069,13.650457,12.127961,10.615938,9.454175,8.959654,9.193265,9.899963,10.724914,11.453480,12.034431,12.457908,12.721810,12.858975,12.913175,12.926850,12.927951
0.501187,18.162483,17.649510,16.969781,16.087619,14.974857,13.629759,12.113024,10.605842,9.447660,8.955387,9.190247,9.897600,10.722702,11.451116,12.031841,12.455156,12.718953,12.856059,12.910235,12.923904,12.925004
0.630957,18.069480,17.570025,16.903329,16.033369,14.931878,13.597028,12.089374,10.589816,9.437270,8.948525,9.185350,9.893768,10.719173,11.447400,12.027818,12.450929,12.714606,12.851645,12.905793,12.919455,12.920555
0.794328,17.926312,17.446272,16.799248,15.948139,14.864231,13.545462,12.052096,10.564532,9.420808,8.937542,9.177417,9.887543,10.713510,11.441518,12.021502,12.444334,12.707864,12.844827,12.898943,12.912596,12.913696
