# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: scr_n_rrup.ini
# Process start: 2017-09-26T01:45:04.444526
# Process finish: 2017-09-26T04:03:25.329086
# rup_dim_model = S14, mech = N, LW = False, AR = 1.0, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,17.231557,16.688760,15.967852,15.020270,13.796554,12.262387,10.434110,8.444776,6.629558,5.524478,5.524837,6.409357,7.415853,7.985901,8.148966,8.162576,8.162751,8.162751,8.162751,8.162751,8.162751
0.125893,17.228099,16.685904,15.965538,15.018463,13.795231,12.261525,10.433685,8.444754,6.629881,5.525045,5.525496,6.409941,7.416273,7.986198,8.149219,8.162826,8.163000,8.163000,8.163000,8.163000,8.163000
0.158489,17.222511,16.681301,15.961817,15.015565,13.793110,12.260144,10.433002,8.444713,6.630389,5.525958,5.526611,6.411056,7.417273,7.987100,8.150084,8.163687,8.163861,8.163861,8.163861,8.163861,8.163861
0.199526,17.213470,16.673870,15.955825,15.010904,13.789705,12.257927,10.431903,8.444638,6.631190,5.527405,5.528421,6.412982,7.419178,7.988965,8.151932,8.165534,8.165708,8.165708,8.165708,8.165708,8.165708
0.251189,17.198838,16.661856,15.946156,15.003396,13.784225,12.254357,10.430125,8.444500,6.632445,5.529670,5.531235,6.415982,7.422199,7.991974,8.154937,8.168538,8.168712,8.168712,8.168712,8.168712,8.168712
0.316228,17.175212,16.642423,15.930529,14.991277,13.775383,12.248594,10.427239,8.444236,6.634407,5.533242,5.535662,6.420628,7.426751,7.996412,8.159332,8.172930,8.173103,8.173103,8.173103,8.173103,8.173103
0.398107,17.137314,16.611043,15.905258,14.971682,13.761090,12.239268,10.422538,8.443739,6.637469,5.538884,5.542654,6.427885,7.433711,8.003076,8.165883,8.179470,8.179644,8.179644,8.179644,8.179644,8.179644
0.501187,17.077161,16.560662,15.864455,14.939982,13.737942,12.224129,10.414844,8.442790,6.642218,5.547743,5.553659,6.439344,7.444772,8.013730,8.176385,8.189960,8.190132,8.190132,8.190132,8.190132,8.190132
0.630957,16.983018,16.480593,15.798924,14.888774,13.700429,12.199506,10.402204,8.440987,6.649543,5.561641,5.571034,6.457595,7.462612,8.031085,8.193561,8.207122,8.207295,8.207295,8.207295,8.207295,8.207295
0.794328,16.838232,16.355238,15.694767,14.806492,13.639729,12.159425,10.381370,8.437559,6.660756,5.583372,5.598317,6.486277,7.490662,8.058418,8.220661,8.234227,8.234401,8.234401,8.234401,8.234401,8.234401
1.000000,16.620225,16.162760,15.531859,14.675718,13.542039,12.094256,10.346960,8.431068,6.677754,5.617235,5.641099,6.531430,7.535068,8.101954,8.263983,8.277601,8.277783,8.277783,8.277783,8.277783,8.277783
1.258925,16.300568,15.874365,15.282506,14.471457,13.386644,11.988887,10.290156,8.418861,6.703208,5.669784,5.708102,6.602590,7.605546,8.171467,8.333395,8.347195,8.347426,8.347429,8.347429,8.347429,8.347429
1.584893,15.846388,15.455573,14.911623,14.160275,13.144307,11.820784,10.197008,8.396208,6.740744,5.750848,5.812588,6.714158,7.716585,8.281507,8.443714,8.458058,8.458453,8.458471,8.458471,8.458471,8.458471
1.995262,15.223157,14.869612,14.379924,13.702068,12.777465,11.558877,10.046792,8.355150,6.795052,5.875058,5.975088,6.889098,7.891889,8.456168,8.619390,8.634868,8.635637,8.635706,8.635709,8.635709,8.635709
2.511886,14.399349,14.083168,13.650493,13.056061,12.244336,11.165376,9.811747,8.283477,6.871765,6.063490,6.226592,7.163111,8.168973,8.733761,8.899291,8.917041,8.918777,8.919085,8.919107,8.919107,8.919107
3.162278,13.353261,13.073958,12.698259,12.191578,11.508477,10.602713,9.460669,8.165265,6.977191,6.345165,6.612600,7.590144,8.604961,9.172669,9.342780,9.364781,9.368519,9.369384,9.369461,9.369463,9.369463
3.981072,12.082285,11.839635,11.520133,11.101253,10.554074,9.846661,8.968013,7.984851,7.118314,6.757207,7.197298,8.251453,9.289217,9.865585,10.043882,10.072682,10.079923,10.082062,10.082425,10.082449,10.082449
5.011872,10.612767,10.407308,10.143885,9.811477,9.400454,8.903621,8.327808,7.734273,7.302424,7.340658,8.062256,9.260141,10.351391,10.948104,11.139718,11.178832,11.192447,11.197594,11.198824,11.198923,11.198923
6.309573,9.006147,8.839228,8.632718,8.386023,8.107463,7.819951,7.564850,7.419122,7.532956,8.126383,9.291834,10.755214,11.965153,12.608477,12.823173,12.877868,12.901421,12.911634,12.914587,12.914985,12.915005
7.943282,7.355857,7.228998,7.080302,6.918409,6.766833,6.675410,6.730074,7.051269,7.792816,9.102976,10.927909,12.857182,14.313611,15.061813,15.319824,15.397704,15.435825,15.455474,15.463226,15.465095,15.465245
10.000000,5.771241,5.684663,5.592762,5.511889,5.477479,5.559356,5.881739,6.629550,8.012966,10.166700,12.887588,15.554514,17.469789,18.442557,18.793985,18.913890,18.977963,19.016228,19.034210,19.039420,19.039954
12.589254,4.351188,4.301932,4.261432,4.251799,4.316780,4.538808,5.065804,6.139465,8.073262,11.088725,14.907417,18.645501,21.361269,22.797241,23.365528,23.579643,23.695341,23.767181,23.805679,23.820412,23.823672
15.848932,3.160227,3.141548,3.142215,3.188043,3.327710,3.650244,4.314000,5.589285,7.886873,11.615796,16.638055,21.887025,25.975397,28.323967,29.367526,29.797285,30.019574,30.159041,30.248014,30.291449,30.304051
19.952623,2.221901,2.225609,2.255768,2.340235,2.530121,2.917170,3.662740,5.043708,7.512555,11.685392,17.870993,25.161619,31.587054,35.747637,37.842819,38.779726,39.248873,39.532478,39.716472,39.812659,39.845569
25.118864,1.523759,1.542883,1.593015,1.703095,1.925388,2.352701,3.146974,4.584923,7.126282,11.515984,18.774285,28.757625,39.039819,46.690162,51.047300,53.152210,54.163749,54.722739,55.077340,55.297367,55.401387
31.622777,1.029465,1.059196,1.122946,1.250301,1.494192,1.948094,2.774668,4.251767,6.843875,11.396320,19.691137,32.998183,49.123911,63.189307,72.304330,77.071215,79.323930,80.497678,81.224890,81.697978,81.936993
39.810717,0.692723,0.729794,0.802921,0.942123,1.200812,1.673117,2.523021,4.031879,6.674608,11.373401,20.553907,37.776128,62.563957,87.854513,106.297328,116.801195,121.966476,124.559859,126.051170,126.982877,127.507120
