# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: scr_ss_rrup.ini
# Process start: 2017-09-26T07:39:21.204752
# Process finish: 2017-09-26T10:19:15.470935
# rup_dim_model = S14, mech = SS, LW = False, AR = 1.0, ndip = 7, mindip = 1.047198, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,77.196797,75.852416,74.069806,71.710663,68.597473,64.507582,59.175686,52.333462,43.930296,34.868561,27.151035,22.501109,20.688664,20.305421,20.276862,20.276862,20.276862,20.276862,20.276862,20.276862,20.276862
0.125893,61.324223,60.255960,58.839654,56.965444,54.492331,51.243456,47.008086,41.573097,34.898313,27.700485,21.570366,17.876806,16.437085,16.132637,16.109950,16.109950,16.109950,16.109950,16.109950,16.109950,16.109950
0.158489,48.717289,47.868302,46.742910,45.253849,43.289120,40.708247,37.343849,33.026657,27.724794,22.007562,17.138399,14.204514,13.060848,12.818984,12.800960,12.800960,12.800960,12.800960,12.800960,12.800960,12.800960
0.199526,38.704596,38.029727,37.135361,35.952182,34.391227,32.340920,29.668326,26.239019,22.027730,17.486635,13.619154,11.288744,10.380259,10.188109,10.173789,10.173789,10.173789,10.173789,10.173789,10.173789,10.173789
0.251189,30.752897,30.216270,29.505347,28.565078,27.324798,25.695887,23.572773,20.848725,17.503735,13.896934,10.825153,8.974085,8.252382,8.099707,8.088327,8.088327,8.088327,8.088327,8.088327,8.088327,8.088327
0.316228,24.438707,24.011807,23.446521,22.699128,21.713505,20.419269,18.732583,16.568729,13.911901,11.047309,8.607631,7.137314,6.563951,6.442618,6.433573,6.433573,6.433573,6.433573,6.433573,6.433573,6.433573
0.398107,19.425762,19.085903,18.636203,18.041929,17.258510,16.230053,14.889995,13.171110,11.060960,8.786025,6.848521,5.680648,5.225082,5.128627,5.121435,5.121435,5.121435,5.121435,5.121435,5.121435,5.121435
0.501187,15.447136,15.176226,14.818201,14.345443,13.722545,12.905129,11.840363,10.474931,8.799095,6.992666,5.454140,4.526485,4.164427,4.087695,4.081967,4.081967,4.081967,4.081967,4.081967,4.081967,4.081967
0.630957,12.291021,12.074592,11.789171,11.412782,10.917273,10.267404,9.421258,8.336594,7.005851,5.571747,4.350275,3.613425,3.325559,3.264431,3.259848,3.259846,3.259846,3.259846,3.259846,3.259846,3.259846
0.794328,9.789385,9.615873,9.387800,9.087727,8.693247,8.176354,7.503806,6.642182,5.585705,4.447592,3.478146,2.892842,2.663793,2.614978,2.611282,2.611275,2.611275,2.611275,2.611275,2.611275,2.611275
1.000000,7.808911,7.669149,7.486210,7.246405,6.931940,6.520533,5.985808,5.301383,4.462956,3.560279,2.791278,2.326375,2.143923,2.104766,2.101713,2.101683,2.101681,2.101681,2.101681,2.101681,2.101681
1.258925,6.243745,6.130599,5.983098,5.790698,5.539434,5.211607,4.786275,4.242646,3.577666,2.862427,2.253037,1.883882,1.738319,1.706662,1.704025,1.703950,1.703944,1.703944,1.703944,1.703944,1.703944
