# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_r_rjb.ini
# Process start: 2017-09-13T13:05:34.944363
# Process finish: 2017-09-13T13:10:08.590287
# rup_dim_model = HB08, mech = R, LW = False, AR = 1.7, ndip = 4, mindip = 0.610865, maxdip = 0.872665, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.063398,0.048041,0.036604,0.028195,0.021950,0.017899,0.015468,0.013780,0.013053,0.012957,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.079309,0.059950,0.045468,0.034718,0.026780,0.020968,0.017331,0.015073,0.013552,0.013009,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.099283,0.074981,0.056723,0.043048,0.032946,0.025452,0.020062,0.016811,0.014701,0.013369,0.012981,0.012962,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.124312,0.093869,0.070889,0.053650,0.040766,0.031259,0.024201,0.019262,0.016330,0.014359,0.013227,0.013031,0.012964,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.251189,0.155566,0.117512,0.088721,0.067042,0.050761,0.038630,0.029688,0.023031,0.018548,0.015888,0.014052,0.013325,0.013041,0.012965,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.316228,0.194481,0.147098,0.111117,0.083885,0.063398,0.048041,0.036604,0.028195,0.021950,0.017899,0.015468,0.014052,0.013357,0.013051,0.012967,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.398107,0.242756,0.183942,0.139065,0.105019,0.079309,0.059950,0.045468,0.034718,0.026780,0.020968,0.017331,0.015323,0.014145,0.013449,0.013147,0.013069,0.013062,0.013062,0.013062,0.013062,0.013062
0.501187,0.301912,0.229711,0.173961,0.131496,0.099283,0.074981,0.056723,0.043048,0.032946,0.025452,0.020062,0.017200,0.015513,0.014445,0.013905,0.013713,0.013674,0.013671,0.013671,0.013671,0.013671
0.630957,0.371107,0.286079,0.217336,0.164514,0.124312,0.093869,0.070889,0.053650,0.040766,0.031259,0.024201,0.019909,0.017481,0.016024,0.015303,0.015031,0.014966,0.014959,0.014959,0.014959,0.014959
0.794328,0.445530,0.353079,0.270931,0.205600,0.155566,0.117512,0.088721,0.067042,0.050761,0.038630,0.029688,0.023790,0.020284,0.018122,0.017090,0.016738,0.016664,0.016656,0.016656,0.016656,0.016656
1.000000,0.520078,0.426762,0.335479,0.256491,0.194481,0.147098,0.111117,0.083885,0.063398,0.048041,0.036604,0.029034,0.024295,0.021124,0.019498,0.018922,0.018801,0.018789,0.018789,0.018789,0.018789
1.258925,0.592508,0.501585,0.408046,0.318400,0.242756,0.183942,0.139065,0.105019,0.079309,0.059950,0.045468,0.035787,0.029673,0.025400,0.022947,0.021920,0.021654,0.021626,0.021625,0.021625,0.021625
1.584893,0.660781,0.574686,0.482980,0.389465,0.301912,0.229711,0.173961,0.131496,0.099283,0.074981,0.056723,0.044395,0.036544,0.030916,0.027498,0.025904,0.025388,0.025290,0.025283,0.025283,0.025283
1.995262,0.721706,0.644282,0.556638,0.464283,0.371107,0.286079,0.217336,0.164514,0.124312,0.093869,0.070889,0.055320,0.045349,0.038074,0.033478,0.031098,0.030169,0.029931,0.029906,0.029905,0.029905
2.511886,0.773647,0.707296,0.627377,0.538433,0.445530,0.353079,0.270931,0.205600,0.155566,0.117512,0.088721,0.069118,0.056528,0.047278,0.041232,0.037867,0.036381,0.035896,0.035793,0.035784,0.035784
3.162278,0.816930,0.761505,0.692323,0.610087,0.520078,0.426762,0.335479,0.256491,0.194481,0.147098,0.111117,0.086496,0.070622,0.058894,0.051166,0.046692,0.044445,0.043538,0.043292,0.043262,0.043260
3.981072,0.852543,0.806871,0.748806,0.676814,0.592508,0.501585,0.408046,0.318400,0.242756,0.183942,0.139065,0.108288,0.088396,0.073639,0.063795,0.057900,0.054740,0.053298,0.052787,0.052670,0.052660
5.011872,0.881594,0.844299,0.796315,0.735542,0.660781,0.574686,0.482980,0.389465,0.301912,0.229711,0.173961,0.135538,0.110665,0.092137,0.079719,0.072194,0.067965,0.065761,0.064824,0.064558,0.064522
6.309573,0.905144,0.874887,0.835627,0.785245,0.721706,0.644282,0.556638,0.464283,0.371107,0.286079,0.217336,0.169519,0.138510,0.115369,0.099806,0.090261,0.084718,0.081651,0.080173,0.079625,0.079494
7.943282,0.924148,0.899717,0.867820,0.826510,0.773647,0.707296,0.627377,0.538433,0.445530,0.353079,0.270931,0.211731,0.173235,0.144399,0.124950,0.112987,0.105959,0.101868,0.099634,0.098659,0.098373
10.000000,0.939432,0.919776,0.893994,0.860378,0.816930,0.761505,0.692323,0.610087,0.520078,0.426762,0.335479,0.263594,0.216359,0.180614,0.156441,0.141535,0.132677,0.127371,0.124314,0.122796,0.122214
12.589254,0.951689,0.935920,0.915160,0.887957,0.852543,0.806871,0.748806,0.676814,0.592508,0.501585,0.408046,0.325373,0.269284,0.225590,0.195727,0.177257,0.166262,0.159597,0.155555,0.153303,0.152303
15.848932,0.961500,0.948875,0.932209,0.910287,0.881594,0.844299,0.796315,0.735542,0.660781,0.574686,0.482980,0.394992,0.332189,0.280760,0.244551,0.221890,0.208350,0.200055,0.194900,0.191884,0.190353
19.952623,0.969340,0.959249,0.945900,0.928289,0.905144,0.874887,0.835627,0.785245,0.721706,0.644282,0.556638,0.468440,0.402724,0.345981,0.304079,0.276954,0.260488,0.250363,0.243991,0.240066,0.237854
25.118864,0.975597,0.967542,0.956869,0.942755,0.924148,0.899717,0.867820,0.826510,0.773647,0.707296,0.627377,0.541749,0.476306,0.417480,0.371710,0.340508,0.320899,0.308673,0.300892,0.296006,0.293122
31.622777,0.980585,0.974163,0.965640,0.954351,0.939432,0.919776,0.893994,0.860378,0.816930,0.761505,0.692323,0.612154,0.548860,0.489600,0.441115,0.406295,0.383417,0.368820,0.359479,0.353532,0.349849
39.810717,0.984559,0.979442,0.972645,0.963628,0.951689,0.935920,0.915160,0.887957,0.852543,0.806871,0.748806,0.677278,0.617983,0.559231,0.508091,0.469219,0.442564,0.425176,0.413951,0.406747,0.402219
50.118723,0.987723,0.983649,0.978232,0.971039,0.961500,0.948875,0.932209,0.910287,0.881594,0.844299,0.796315,0.734977,0.681548,0.624859,0.571442,0.527939,0.496693,0.475905,0.462423,0.453742,0.448206
63.095734,0.990241,0.986999,0.982685,0.976952,0.969340,0.959249,0.945900,0.928289,0.905144,0.874887,0.835627,0.784283,0.737714,0.684791,0.630478,0.582596,0.546169,0.521239,0.504960,0.494439,0.487684
79.432823,0.992243,0.989664,0.986231,0.981665,0.975597,0.967542,0.956869,0.942755,0.924148,0.899717,0.867820,0.825444,0.785813,0.738053,0.684885,0.633723,0.591946,0.562145,0.542430,0.529646,0.521410
100.000000,0.993836,0.991785,0.989054,0.985419,0.980585,0.974163,0.965640,0.954351,0.939432,0.919776,0.893994,0.859357,0.826277,0.784406,0.734165,0.681502,0.635012,0.599879,0.575949,0.560341,0.550251
125.892541,0.995102,0.993471,0.991299,0.988407,0.984559,0.979442,0.972645,0.963628,0.951689,0.935920,0.915160,0.887042,0.859780,0.823972,0.778225,0.726251,0.676231,0.635626,0.606752,0.587644,0.575250
158.489319,0.996108,0.994812,0.993085,0.990785,0.987723,0.983649,0.978232,0.971039,0.961500,0.948875,0.932209,0.909495,0.887236,0.857229,0.816865,0.767510,0.715825,0.670387,0.636070,0.612659,0.597381
199.526231,0.996908,0.995878,0.994505,0.992676,0.990241,0.986999,0.982685,0.976952,0.969340,0.959249,0.945900,0.927620,0.909564,0.884763,0.850095,0.805029,0.753902,0.704831,0.664945,0.636493,0.617627
251.188643,0.997543,0.996725,0.995634,0.994180,0.992243,0.989664,0.986231,0.981665,0.975597,0.967542,0.956869,0.942199,0.927622,0.907328,0.878186,0.838354,0.789772,0.739000,0.694216,0.660218,0.636954
316.227766,0.998048,0.997398,0.996531,0.995375,0.993836,0.991785,0.989054,0.985419,0.980585,0.974163,0.965640,0.953894,0.942168,0.925680,0.901538,0.867303,0.822955,0.772716,0.724280,0.684659,0.656257
398.107171,0.998449,0.997933,0.997244,0.996325,0.995102,0.993471,0.991299,0.988407,0.984559,0.979442,0.972645,0.963255,0.953848,0.940521,0.920734,0.891937,0.852762,0.805065,0.754972,0.710435,0.676397
501.187234,0.998768,0.998358,0.997810,0.997080,0.996108,0.994812,0.993085,0.990785,0.987723,0.983649,0.978232,0.970736,0.963206,0.952475,0.936377,0.912512,0.878871,0.835393,0.785884,0.737739,0.698038
630.957344,0.999021,0.998695,0.998260,0.997681,0.996908,0.995878,0.994505,0.992676,0.990241,0.986999,0.982685,0.976708,0.970689,0.962074,0.949049,0.929481,0.901200,0.862851,0.815954,0.766279,0.721694
794.328235,0.999223,0.998964,0.998618,0.998157,0.997543,0.996725,0.995634,0.994180,0.992243,0.989664,0.986231,0.981468,0.976665,0.969765,0.959269,0.943344,0.919915,0.887035,0.844389,0.795428,0.747351
1000.000000,0.999383,0.999177,0.998902,0.998536,0.998048,0.997398,0.996531,0.995375,0.993836,0.991785,0.989054,0.985261,0.981431,0.975914,0.967483,0.954595,0.935389,0.907774,0.870245,0.824029,0.774614
