# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: figure3_top.ini
# Process start: 2017-09-11T15:13:07.402313
# Process finish: 2017-09-11T15:43:38.677886
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.7, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000550,0.000477,0.000416,0.000368,0.000332,0.000305,0.000286,0.000273,0.000263,0.000257,0.000253,0.000250,0.000249,0.000248,0.000248,0.000248,0.000248,0.000248,0.000248,0.000248,0.000248
0.125893,0.000990,0.000857,0.000743,0.000649,0.000575,0.000520,0.000479,0.000450,0.000430,0.000416,0.000407,0.000401,0.000397,0.000396,0.000396,0.000396,0.000396,0.000396,0.000396,0.000396,0.000396
0.158489,0.001773,0.001542,0.001335,0.001158,0.001013,0.000900,0.000815,0.000753,0.000709,0.000678,0.000657,0.000644,0.000636,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633
0.199526,0.003145,0.002764,0.002402,0.002079,0.001804,0.001581,0.001407,0.001278,0.001184,0.001117,0.001070,0.001040,0.001023,0.001017,0.001016,0.001016,0.001016,0.001016,0.001016,0.001016,0.001016
0.251189,0.005504,0.004911,0.004309,0.003742,0.003238,0.002813,0.002468,0.002202,0.002005,0.001862,0.001760,0.001692,0.001655,0.001640,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637
0.316228,0.009460,0.008614,0.007667,0.006716,0.005828,0.005044,0.004385,0.003855,0.003447,0.003145,0.002928,0.002780,0.002696,0.002663,0.002656,0.002655,0.002655,0.002655,0.002655,0.002655,0.002655
0.398107,0.015877,0.014845,0.013475,0.011967,0.010467,0.009076,0.007857,0.006837,0.006021,0.005397,0.004938,0.004620,0.004434,0.004357,0.004339,0.004338,0.004338,0.004338,0.004338,0.004338,0.004338
0.501187,0.025855,0.025006,0.023287,0.021075,0.018675,0.016312,0.014136,0.012240,0.010663,0.009407,0.008454,0.007781,0.007377,0.007201,0.007154,0.007149,0.007148,0.007148,0.007148,0.007148,0.007148
0.630957,0.040552,0.040909,0.039364,0.036516,0.032949,0.029136,0.025418,0.022017,0.019070,0.016632,0.014706,0.013300,0.012434,0.012039,0.011920,0.011901,0.011899,0.011899,0.011899,0.011899,0.011899
0.794328,0.060807,0.064524,0.064682,0.061932,0.057234,0.051497,0.045452,0.039604,0.034290,0.029713,0.025955,0.023098,0.021266,0.020391,0.020102,0.020037,0.020027,0.020026,0.020026,0.020026,0.020026
1.000000,0.086531,0.097393,0.102579,0.102206,0.097389,0.089665,0.080469,0.070891,0.061696,0.053402,0.046313,0.040709,0.036940,0.035026,0.034335,0.034148,0.034104,0.034098,0.034098,0.034098,0.034098
1.258925,0.115884,0.139663,0.155838,0.162958,0.161389,0.153055,0.140436,0.125708,0.110536,0.096097,0.083188,0.072557,0.065084,0.061033,0.059418,0.058916,0.058773,0.058741,0.058737,0.058737,0.058737
1.584893,0.144685,0.188747,0.225167,0.249135,0.258650,0.254668,0.240454,0.219880,0.196315,0.172318,0.149709,0.130236,0.115935,0.107713,0.104109,0.102844,0.102446,0.102336,0.102313,0.102311,0.102311
1.995262,0.167851,0.238095,0.306995,0.362616,0.397908,0.410229,0.401645,0.377582,0.344125,0.306497,0.268658,0.234380,0.208040,0.192079,0.184476,0.181463,0.180410,0.180093,0.180011,0.179997,0.179997
2.511886,0.182993,0.278910,0.391157,0.498635,0.583362,0.634935,0.650147,0.633076,0.592615,0.538384,0.478524,0.420854,0.374341,0.344677,0.329455,0.322769,0.320185,0.319359,0.319137,0.319088,0.319082
3.162278,0.191840,0.306231,0.462720,0.641551,0.808854,0.937460,1.012268,1.029638,0.997250,0.929723,0.842249,0.750262,0.671469,0.618441,0.589352,0.575394,0.569458,0.567402,0.566830,0.566698,0.566671
3.981072,0.197371,0.322273,0.511952,0.766527,1.050668,1.310410,1.504918,1.612455,1.629459,1.570093,1.458248,1.322040,1.195087,1.104142,1.050953,1.023334,1.010612,1.005830,1.004405,1.004073,1.004017
5.011872,0.201066,0.332195,0.541172,0.855070,1.268094,1.718287,2.120415,2.413458,2.566202,2.576917,2.470888,2.292951,2.103107,1.955306,1.862849,1.811393,1.785864,1.775605,1.772419,1.771663,1.771547
6.309573,0.203615,0.338775,0.559008,0.908378,1.426865,2.095248,2.806510,3.427210,3.866524,4.080701,4.072609,3.894562,3.643131,3.420948,3.269951,3.179729,3.131697,3.111101,3.104408,3.102821,3.102623
7.943282,0.205412,0.343298,0.570734,0.940487,1.524086,2.378954,3.457843,4.578292,5.533265,6.188489,6.483807,6.440514,6.184083,5.891328,5.665791,5.519581,5.436144,5.398243,5.385930,5.383444,5.383302
10.000000,0.206703,0.346479,0.578763,0.961393,1.581938,2.555934,3.962825,5.699778,7.459388,8.923377,9.895419,10.298485,10.230174,9.946237,9.661278,9.450747,9.319898,9.256651,9.236319,9.233528,9.234514
