# Program: /data/emthompson/DistanceConversion/RrupMeanVar.py
# Config file: /home/emthompson/ps2ff/config/Rrup_WC94_mechA_ar1p7_seis0-20.ini
# Process start: 2017-06-06T14:37:25.528991
# Process finish: 2017-06-06T18:49:18.387276
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.7, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 40, nz = 20
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,99.815565,98.863772,97.652070,96.116676,94.182323,91.762850,88.764281,85.093147,80.676883,75.520707,69.788204,63.347958,56.721460,51.939175,51.276978,53.596789,56.448722,58.209393,59.143282,59.553592,59.678971
0.125893,79.289112,78.532843,77.570144,76.350350,74.813674,72.891675,70.509700,67.593502,64.085445,59.989679,55.436151,50.320506,45.057001,41.258479,40.732612,42.575349,44.840720,46.239270,46.981085,47.307006,47.406599
0.158489,62.985078,62.384068,61.619115,60.649967,59.429133,57.902250,56.010019,53.693459,50.906789,47.653317,44.036267,39.972766,35.791882,32.774739,32.357135,33.820912,35.620358,36.731266,37.320511,37.579399,37.658509
0.199526,50.035210,49.557463,48.949528,48.179422,47.209419,45.996337,44.493077,42.652788,40.439106,37.854666,34.981469,31.753692,28.432734,26.036210,25.704570,26.867320,28.296669,29.179093,29.647147,29.852789,29.915629
0.251189,39.749875,39.369962,38.886677,38.274611,37.503790,36.539909,35.345560,33.883535,32.124952,30.071913,27.789559,25.225600,22.587670,20.684090,20.420701,21.344327,22.479695,23.180628,23.552416,23.715764,23.765679
0.316228,31.581341,31.279042,30.894680,30.408065,29.795383,29.029379,28.080338,26.918711,25.521570,23.890599,22.077541,20.040839,17.945406,16.433337,16.224137,16.957808,17.859657,18.416426,18.711748,18.841499,18.881149
0.398107,25.094604,24.853835,24.547935,24.160864,23.673696,23.064781,22.310512,21.387421,20.277311,18.981547,17.541230,15.923313,14.258753,13.057616,12.891434,13.474211,14.190569,14.632824,14.867405,14.970471,15.001965
0.501187,19.944226,19.752179,19.508462,19.200325,18.812733,18.328482,17.728820,16.995110,16.112909,15.083337,13.939051,12.653746,11.331393,10.377192,10.245147,10.708057,11.277073,11.628365,11.814699,11.896566,11.921583
0.630957,15.855941,15.702404,15.507898,15.262291,14.953634,14.568260,14.091272,13.507871,12.806601,11.988386,11.079181,10.058033,9.007452,8.249339,8.144368,8.512047,8.964022,9.243059,9.391067,9.456096,9.475968
0.794328,12.612051,12.488859,12.333212,12.137058,11.890899,11.583876,11.204158,10.739998,10.182316,9.531885,8.809335,7.997963,7.163222,6.560825,6.477296,6.769285,7.128271,7.349912,7.467477,7.519131,7.534916
1.000000,10.039846,9.940426,9.815352,9.658205,9.461434,9.216410,8.913736,8.544094,8.100298,7.583016,7.008642,6.363822,5.700452,5.221699,5.155165,5.386976,5.672061,5.848104,5.941486,5.982515,5.995054
1.258925,8.002407,7.921416,7.820239,7.693728,7.535863,7.339784,7.098032,6.803217,6.449667,6.037986,5.581209,5.068607,4.541260,4.160624,4.107541,4.291523,4.517869,4.657671,4.731843,4.764432,4.774392
1.584893,6.391258,6.324345,6.241622,6.138995,6.011628,5.854051,5.660340,5.424646,5.142507,4.814495,4.450991,4.043341,3.623958,3.321139,3.278637,3.424583,3.604245,3.715235,3.774135,3.800021,3.807932
1.995262,5.120394,5.064140,4.995421,4.911164,4.807505,4.680043,4.524060,4.334932,4.109168,3.847340,3.557809,3.233607,2.900160,2.659215,2.625040,2.740681,2.883222,2.971312,3.018066,3.038619,3.044903
2.511886,4.121437,4.073392,4.015176,3.944760,3.859256,3.755131,3.628586,3.475958,3.294538,3.084925,2.853992,2.596172,2.331213,2.139503,2.111831,2.203248,2.316225,2.386109,2.423216,2.439531,2.444520
3.162278,3.339854,3.298441,3.248257,3.188113,3.116187,3.029849,2.926038,2.801812,2.655079,2.486475,2.301705,2.096279,1.885401,1.732492,1.709702,1.781660,1.871022,1.926395,1.955824,1.968768,1.972725
3.981072,2.732081,2.696321,2.652671,2.600326,2.538361,2.465222,2.378652,2.276274,2.156443,2.019823,1.871173,1.706829,1.538370,1.415799,1.396491,1.452687,1.523098,1.566856,1.590158,1.600420,1.603561
5.011872,2.263297,2.232518,2.194566,2.148626,2.094164,2.030589,1.956704,1.870802,1.771563,1.659614,1.538903,1.406357,1.270720,1.171507,1.154399,1.197663,1.252753,1.287164,1.305556,1.313675,1.316164
6.309573,1.905578,1.879251,1.846466,1.806275,1.758061,1.701632,1.636816,1.562920,1.479090,1.385850,1.286380,1.178041,1.067387,0.985789,0.969705,1.002167,1.044712,1.071485,1.085884,1.092269,1.094231
7.943282,1.636381,1.614051,1.586003,1.551207,1.508809,1.458443,1.400345,1.334892,1.262136,1.182680,1.098938,1.008540,0.916391,0.847583,0.831365,0.854551,0.886647,0.907068,0.918159,0.923119,0.924649
10.000000,1.437317,1.418569,1.394851,1.365132,1.328402,1.283933,1.231675,1.172408,1.107252,1.037433,0.964854,0.887267,0.808318,0.748230,0.730683,0.745602,0.768791,0.783777,0.792021,0.795755,0.796912
12.589254,1.293212,1.277649,1.257847,1.232834,1.201566,1.163074,1.116791,1.063066,1.003372,0.939857,0.874631,0.805703,0.735665,0.680887,0.660790,0.667997,0.683335,0.693506,0.699186,0.701799,0.702606
15.848932,1.191436,1.178666,1.162343,1.141597,1.115435,1.082812,1.042819,0.995096,0.940485,0.881329,0.820458,0.756820,0.692273,0.639958,0.616059,0.615697,0.623831,0.629576,0.632830,0.634329,0.634765
19.952623,1.121482,1.111115,1.097819,1.080839,1.059285,1.032152,0.998412,0.957240,0.908529,0.853706,0.795647,0.734789,0.673052,0.620916,0.592014,0.583922,0.585147,0.586626,0.587464,0.587776,0.587762
25.118864,1.074740,1.066400,1.055675,1.041931,1.024396,1.002169,0.974246,0.939632,0.897609,0.848367,0.793627,0.734512,0.673678,0.619968,0.585046,0.568837,0.563117,0.560309,0.558668,0.557667,0.557082
